,Date,Open,High,Low,Close,Volume,20-day MA,20-day Volatility,Signal
304,2023-09-26T00:00:00+05:30,416.8,416.8,411.7,412.9,3240283,426.125,11.036393146504587,Sell
305,2023-09-27T00:00:00+05:30,412.25,416.55,410.3,415.65,3886997,426.495,10.517427892488117,Sell
306,2023-09-28T00:00:00+05:30,416.5,416.5,404.0,405.35,8438058,426.4125,10.683556905726554,Sell
307,2023-09-29T00:00:00+05:30,405.0,409.25,401.5,406.05,6390136,426.26000000000005,10.961830907385322,Sell
308,2023-10-03T00:00:00+05:30,406.45,408.1,403.6,405.45,2864052,425.715,11.724873470308319,Sell
309,2023-10-04T00:00:00+05:30,402.7,405.45,400.65,404.9,3452935,424.255,12.42303569138707,Sell
310,2023-10-05T00:00:00+05:30,407.95,410.4,405.0,406.8,4062652,423.00249999999994,12.871679183385654,Sell
311,2023-10-06T00:00:00+05:30,408.0,409.8,406.95,407.85,3182502,421.93,13.208563808936255,Sell
312,2023-10-09T00:00:00+05:30,404.2,411.0,403.4,405.6,3015225,420.5675,13.426508295160142,Sell
313,2023-10-10T00:00:00+05:30,406.4,408.75,406.2,407.75,2564007,419.45500000000004,13.52524831954177,Sell
314,2023-10-11T00:00:00+05:30,409.0,423.95,409.0,421.15,9546114,418.77,13.042838325263094,Buy
315,2023-10-12T00:00:00+05:30,421.75,421.9,414.7,417.1,5117199,417.875,12.472184842153627,Sell
316,2023-10-13T00:00:00+05:30,411.9,414.4,409.05,411.05,5457027,416.64250000000004,11.818855085257654,Sell
317,2023-10-16T00:00:00+05:30,411.0,411.9,408.15,410.2,2638826,415.33000000000004,10.92736063861356,Sell
318,2023-10-17T00:00:00+05:30,411.7,413.85,411.05,411.4,2989694,413.8475,9.115364054282788,Sell
319,2023-10-18T00:00:00+05:30,409.0,413.65,407.0,407.45,2440533,412.41499999999996,7.551299992647165,Sell
320,2023-10-19T00:00:00+05:30,391.95,396.75,390.1,395.3,12814551,410.675,7.26575420796301,Sell
321,2023-10-20T00:00:00+05:30,395.05,396.05,391.0,391.85,4214668,408.82,7.088229680252052,Sell
322,2023-10-23T00:00:00+05:30,390.85,393.0,382.2,383.15,4418913,407.05249999999995,8.758101137022914,Sell
323,2023-10-25T00:00:00+05:30,384.4,387.7,381.1,381.85,3339147,405.44,10.2363593445905,Sell
324,2023-10-26T00:00:00+05:30,378.8,380.55,375.05,378.25,5497791,403.7075,11.730507627998577,Sell
325,2023-10-27T00:00:00+05:30,379.05,384.35,379.05,382.35,3101406,402.0425,12.295840920708718,Sell
326,2023-10-30T00:00:00+05:30,384.0,384.35,380.4,382.0,2344372,400.875,13.050645275436379,Sell
327,2023-10-31T00:00:00+05:30,383.2,384.1,379.15,381.8,3076768,399.6625,13.656961546559955,Sell
328,2023-11-01T00:00:00+05:30,383.85,385.55,380.15,380.95,2120976,398.4375,14.198571786960846,Sell
329,2023-11-02T00:00:00+05:30,383.8,385.15,382.1,383.65,2371365,397.375,14.481780749763386,Sell
330,2023-11-03T00:00:00+05:30,386.0,386.7,382.65,383.55,2645764,396.2125,14.617922263981168,Sell
331,2023-11-06T00:00:00+05:30,386.0,386.45,383.0,384.65,2469968,395.0525,14.566250420605716,Sell
332,2023-11-07T00:00:00+05:30,384.9,387.0,382.85,383.3,2846089,393.9375,14.569875870944934,Sell
333,2023-11-08T00:00:00+05:30,384.6,385.85,381.5,382.2,3551026,392.65999999999997,14.4143349701464,Sell
334,2023-11-09T00:00:00+05:30,383.0,384.0,379.7,380.85,4615563,390.64500000000004,12.966108656193537,Sell
335,2023-11-10T00:00:00+05:30,380.3,381.8,377.0,379.3,5355350,388.755,11.588741133213642,Sell
336,2023-11-12T00:00:00+05:30,383.4,383.4,381.45,382.45,1011662,387.325,10.396020240558947,Sell
337,2023-11-13T00:00:00+05:30,382.6,382.9,380.0,381.65,1792951,385.8975,8.949132198446343,Sell
338,2023-11-15T00:00:00+05:30,385.55,392.25,384.25,391.65,5396259,384.91,6.824348821837221,Sell
339,2023-11-16T00:00:00+05:30,391.65,399.5,389.3,397.1,6921788,384.3925,5.231742061685167,Sell
340,2023-11-17T00:00:00+05:30,398.0,399.0,394.5,395.4,3943464,384.39750000000004,5.242751261454181,Sell
341,2023-11-20T00:00:00+05:30,393.2,401.1,393.2,400.2,4305248,384.815,6.125595567178535,Sell
